time,open,high,low,close
2026-07-14T20:39:00-05:00,29934.75,29944,29929.25,29939.25
2026-07-14T20:40:00-05:00,29938.25,29938.25,29919,29919.5
2026-07-14T20:41:00-05:00,29921.25,29923.25,29904.75,29916.75
2026-07-14T20:42:00-05:00,29919,29924.25,29902,29904.25
2026-07-14T20:43:00-05:00,29901,29907.75,29897,29904.25
2026-07-14T20:44:00-05:00,29905,29906,29891.5,29892.75
2026-07-14T20:45:00-05:00,29894.25,29906,29891.75,29906
2026-07-14T20:46:00-05:00,29905.75,29917,29904,29912.25
2026-07-14T20:47:00-05:00,29912.5,29914.75,29906.75,29912
2026-07-14T20:48:00-05:00,29908,29910,29906,29907.75
2026-07-14T20:49:00-05:00,29911.75,29923.25,29911.75,29918.5
2026-07-14T20:50:00-05:00,29920.5,29923.75,29918,29920.25
2026-07-14T20:51:00-05:00,29917,29923.75,29917,29923.75
2026-07-14T20:52:00-05:00,29924.75,29926.75,29915.75,29915.75
2026-07-14T20:53:00-05:00,29917,29932.75,29911.75,29931.75
2026-07-14T20:54:00-05:00,29931.75,29937.25,29922.25,29935
2026-07-14T20:55:00-05:00,29934.75,29939.75,29934.25,29937.75
2026-07-14T20:56:00-05:00,29939.5,29944,29935.25,29940.75
2026-07-14T20:57:00-05:00,29941.5,29942.5,29935.25,29941.5
2026-07-14T20:58:00-05:00,29941.75,29953.5,29940.5,29952.75
2026-07-14T20:59:00-05:00,29953.25,29959.25,29949,29957.25
2026-07-14T21:00:00-05:00,29958.75,29961,29950.5,29955.5
2026-07-14T21:01:00-05:00,29954.75,29955.5,29949.25,29952
2026-07-14T21:02:00-05:00,29951,29958.75,29950,29957.5
2026-07-14T21:03:00-05:00,29956.75,29960,29950,29952.25
2026-07-14T21:04:00-05:00,29952.25,29960,29952.25,29960
2026-07-14T21:05:00-05:00,29960,29967.25,29953,29966.25
2026-07-14T21:06:00-05:00,29965.25,29974,29963.25,29964.75
2026-07-14T21:07:00-05:00,29964.25,29967.5,29963.25,29966.25
2026-07-14T21:08:00-05:00,29965.25,29968.75,29962.25,29968
2026-07-14T21:09:00-05:00,29969.25,29970.75,29962.75,29966
2026-07-14T21:10:00-05:00,29965.75,29972,29964,29967.5
2026-07-14T21:11:00-05:00,29969.5,29970.75,29963.25,29965
2026-07-14T21:12:00-05:00,29964.5,29981,29964.25,29978.5
2026-07-14T21:13:00-05:00,29978,29980.75,29965.5,29967.25
2026-07-14T21:14:00-05:00,29967,29968,29958.5,29963.5
2026-07-14T21:15:00-05:00,29966.5,29967,29960.75,29965.75
2026-07-14T21:16:00-05:00,29964.75,29967.25,29959.5,29964.75
2026-07-14T21:17:00-05:00,29963.25,29973.75,29961.75,29972
2026-07-14T21:18:00-05:00,29971,29979.25,29970,29979.25
2026-07-14T21:19:00-05:00,29978.75,29981.75,29971.75,29972.5
2026-07-14T21:20:00-05:00,29972.25,29973.5,29959.75,29959.75
2026-07-14T21:21:00-05:00,29960.5,29966.5,29959.75,29965.75
2026-07-14T21:22:00-05:00,29965.75,29979,29962,29978
2026-07-14T21:23:00-05:00,29978.25,29979.5,29965,29965
2026-07-14T21:24:00-05:00,29965.5,29968.25,29961.5,29961.5
2026-07-14T21:25:00-05:00,29960.75,29966,29960.75,29962.75
2026-07-14T21:26:00-05:00,29962,29966.75,29960,29962.25
2026-07-14T21:27:00-05:00,29960,29968.25,29958.5,29968.25
2026-07-14T21:28:00-05:00,29967,29973.5,29964.25,29969.75
